time,Xm position,Xr position,X_ref position,Ym position,Yr position,Y_ref position,Zm position,Zr position,Z_ref position,Fx,Fx_des,Fy,Fy_des,Fz,Fz_des,Mx,mx_des,My,my_des,Mz,mz_des
0.0,0.05561165407091237,0.05561165407091237,0.05561165407091237,0.013769144385922083,0.013769144385922083,0.013769144385922083,1.0560220785010421,1.0560220785010421,1.0560220785010421,0.17186031840532354,0.0,-0.056092429344974146,0.0,-0.7921929458344809,0.0,-0.008809216604691606,1.8983893575186261e-06,-0.02529922193007118,0.0,-0.00023512994478028248,-2.511384743827255e-07
0.002,0.05561165403534226,0.055633134376934054,0.05561165403534226,0.0137691443764755,0.013763913031890687,0.0137691443764755,1.0560220784204364,1.0560583684592424,1.0560220784204364,2.213629045554835,-0.8187144442859904,-0.7044087579349266,0.19939224633616895,31.636720809918597,-1.3833012121891441,0.0044214718039045095,0.6448655670925687,0.02024591466896198,3.17988662967097,0.0008903233845335425,0.054118575046111964
0.004,0.05561165378652227,0.05566112424653098,0.05561165378652227,0.013769144310394776,0.013756989492494298,0.013769144310394776,1.0560220778565832,1.0561092466449964,1.0560220778565832,0.2148549417677779,-1.081842219594576,-0.06425517267534846,0.26754361754989386,0.17131897390966205,-1.9648186123376674,-0.003962903777249914,0.8594303351152284,-0.016754194174473793,4.239897851142448,-0.0009994376337795347,0.0742552056730512
0.006,0.055611653111671905,0.05568324880440364,0.055611653111671905,0.013769144131170427,0.013751355532624555,0.013769144131170427,1.0560220763272985,1.0561549680385105,1.0560220763272985,-0.9324256381423404,-0.8779076558636426,0.3086686710440334,0.22323331687188597,-17.72367946384721,-1.803895971537561,-0.00842846496740796,0.7084532076446229,-0.03658857096075963,3.498389453651219,-0.0010121312263479678,0.06348095804230146
0.008,0.05561165179852237,0.05569466013089122,0.05561165179852237,0.013769143782428866,0.013748212721760881,0.013769143782428866,1.0560220733515584,1.0561864868804978,1.0560220733515584,-0.9353586439717578,-0.4851090581767748,0.30823552978412194,0.13222189874646353,-17.51295268735576,-1.2945788667141627,-0.009888177784429849,0.40692047918349583,-0.034637145506293265,2.0141103612627,-0.0005064914647781582,0.03989535003120445
0.01,0.05561164963531617,0.0556975956176382,0.05561164963531617,0.01376914320793229,0.013747066590011563,0.01376914320793229,1.056022068449497,1.056205899808095,1.056022068449497,-0.8601597382984274,-0.17008449382131874,0.2805847654065883,0.05830899781322433,-15.636791740859048,-0.8552762496114631,-0.0077193443052522865,0.163374724621621,-0.027841203909774858,0.8145642723275577,-0.00032515427215057424,0.02063599768022395
0.012,0.05561164641080666,0.05569455484742673,0.05561164641080666,0.013769142351578579,0.013747349667440196,0.013769142351578579,1.0560220611424065,1.0562160760126287,1.0560220611424065,-0.8072791748771225,0.05560063758516508,0.2605372399933878,0.004624106320567799,-14.20225590273749,-0.516894329985828,-0.005925927749060536,-0.012462828009788221,-0.02216652448893975,-0.05191415755181439,-0.0003674300081656647,0.0066525921481023435
0.014,0.0556116419142577,0.05568735181455228,0.0556116419142577,0.01376914115740117,0.013748649890292798,0.01376914115740117,1.0560220509527356,1.0562191055789774,1.0560220509527356,-0.9370486867709512,0.21632299134488742,0.3053089466681187,-0.034358130295381824,-15.682298002837793,-0.25173807617604305,-0.0028501594295943246,-0.13905499994438103,-0.02020636944826038,-0.6761696631145113,-0.00037217150992741044,-0.003453343348015868
0.016,0.055611635935443174,0.05567671678838087,0.055611635935443174,0.013769139569568972,0.01375081238237839,0.013769139569568972,1.0560220374040894,1.0562155221760583,1.0560220374040894,-0.6674899041001459,0.35211782178682716,0.21261957995468006,-0.06815193405658063,-11.247606706980784,-0.0019432272762177627,-0.0031553870351199737,-0.24745710669555043,-0.013717886118095103,-1.210979206152961,-0.0003068693867072371,-0.012324962934203789
0.018000000000000002,0.05561162826464663,0.055664934338952046,0.05561162826464663,0.013769137532386233,0.013753297100914405,0.013769137532386233,1.0560220200212271,1.056208589960062,1.0560220200212271,-0.5591045911317926,0.40322671460542003,0.17217130005602257,-0.08196728727310285,-9.286703241587476,0.12804375594381284,-0.0035110372401885603,-0.29028724746600165,-0.009706790227270728,-1.4231030062666798,-0.00014271416406719253,-0.015710646338481377
0.020000000000000004,0.05561161869266084,0.05565299108760981,0.05561161869266084,0.01376913499029245,0.013755869863308522,0.01376913499029245,1.0560219983300625,1.056199742078902,1.0560219983300625,-0.42039275172949586,0.4175227020382509,0.1252712144175499,-0.08708434852327115,-7.0562549990504255,0.20572896347475045,-0.0033327725531577543,-0.3045977239884329,-0.006770830967417043,-1.4948635990612824,-8.054213464586682e-05,-0.016787776471423974
0.022000000000000006,0.05561160701078742,0.055641685790494375,0.05561160701078742,0.013769131887862246,0.013758338808792295,0.013769131887862246,1.056021971857662,1.0561902526844744,1.056021971857662,-0.3174351531542296,0.4014754214635605,0.09492599511207134,-0.0849523165412553,-5.451172192617808,0.23616922913269883,-0.0017865744811245983,-0.29525616511209657,-0.004988549119270493,-1.4497542046741623,-0.0001357989646290359,-0.016506867323602736
0.024000000000000007,0.05561159301083639,0.055631321610966115,0.05561159301083639,0.013769128169805273,0.013760628221651298,0.013769128169805273,1.0560219401322448,1.0561806890051837,1.0560219401322448,-0.2535839991795307,0.37341628339145294,0.07457789097329255,-0.07986403307594216,-4.508042390330465,0.24541693548134785,-0.0016559114791892672,-0.2764194391641358,-0.004312518832577884,-1.3576674515909897,-9.20771420244021e-05,-0.01574161412253237
0.02600000000000001,0.055611576485125776,0.055622080570362074,0.055611576485125776,0.013769123780966097,0.013762690186185634,0.013769123780966097,1.0560219026831807,1.0561714660242691,1.0560219026831807,-0.1882817558430177,0.3377505761396226,0.005329685592314309,-0.07282618913383435,-3.570225703488499,0.23887751824097747,-0.020040193698848168,-0.25144300580002965,-0.0038417736018971937,-1.235170180668775,0.001322383932725413,-0.014612275294191318
0.02800000000000001,0.055611557226481215,0.055614100345163786,0.055611557226481215,0.013769118666324085,0.013764464035427727,0.013769118666324085,1.05602185904099,1.0561629554651066,1.05602185904099,-0.1412803402752285,0.296041092567263,0.006273086048210801,-0.0633192568180744,-2.9381395429101556,0.21790897850128,-0.014339170240624251,-0.21962976378437904,-0.0038236143086569662,-1.088148198991787,0.0009350769894583055,-0.01259403567937066
0.030000000000000013,0.055611535028235515,0.05560737027199829,0.055611535028235515,0.013769112770993307,0.013765959549867039,0.013769112770993307,1.056021808737342,1.0561553087464934,1.056021808737342,-0.10868585302845123,0.2538457169245173,0.05432752638003397,-0.053986039066735644,-2.5371945919629995,0.19064782685183979,0.007387232322679463,-0.18849879882356393,-0.004088987279944335,-0.9376567589690924,-0.000655292374841618,-0.010590962972879385
0.032000000000000015,0.05561150968422827,0.055601777301514305,0.05561150968422827,0.013769106040222417,0.013767218028921752,0.013769106040222417,1.0560217513050552,1.056148531025856,1.0560217513050552,-0.07169112211723434,0.21507448097438453,0.03793839059200894,-0.04603482191767042,-2.06893374251638,0.16256266777695227,0.005406834217667656,-0.16088392161480286,-0.004308045166121489,-0.7987674139452128,-0.0004837134707455019,-0.009341270679174502
0.034000000000000016,0.05561148098880543,0.05559726777740719,0.05561148098880543,0.01376909841939455,0.013768245009216869,0.01376909841939455,1.0560216862780947,1.0561426896327262,1.0560216862780947,-0.041988165841881905,0.17754249453514903,0.024635834154236914,-0.038131392361999965,-1.7045288161350727,0.13127991008771586,0.0037621488445153096,-0.13380927497739192,-0.004573631159093151,-0.6632544587410597,-0.0003434229695808527,-0.007962198927717
0.03600000000000002,0.05561144873681892,0.05559375633684359,0.05561144873681892,0.01376908985402721,0.013769054435546805,0.01376908985402721,1.0560216131915727,1.0561377942504608,1.0560216131915727,-0.018336590889317578,0.14249576159972432,0.014086891793806088,-0.030600153518027057,-1.4364567271976223,0.09894941053137421,0.002379697354081813,-0.10829748795443464,-0.004953857897691762,-0.5359775217417685,-0.0002329781442511996,-0.00653082341734385
