time,Xm position,Xr position,X_ref position,Ym position,Yr position,Y_ref position,Zm position,Zr position,Z_ref position,Fx,Fx_des,Fy,Fy_des,Fz,Fz_des,Mx,mx_des,My,my_des,Mz,mz_des
0.0,0.05561165407091237,0.05561165407091237,0.05561165407091237,0.013769144385922083,0.013769144385922083,0.013769144385922083,1.0560220785010421,1.0560220785010421,1.0560220785010421,0.17186031840532354,0.0,-0.056092429344974146,0.0,-0.7921929458344809,0.0,-0.008809216604691606,1.8983893575186261e-06,-0.02529922193007118,0.0,-0.00023512994478028248,-2.511384743827255e-07
0.002,0.05561165403470265,0.055633134376934054,0.05561165403470265,0.013769144377115117,0.013763913031890687,0.013769144377115117,1.0560220784204364,1.0560583684592424,1.0560220784204364,2.213629045554835,-0.8187145165160813,-0.7044087579349266,0.19939231856626222,31.636720809918597,-1.3833012121891441,0.0044214718039045095,0.6448655670925687,0.02024591466896198,3.17988662967097,0.0008903233845335425,0.054118575046111964
0.004,0.055611653781408414,0.055661124246492104,0.055611653781408414,0.013769144315508634,0.013756989492520036,0.013769144315508634,1.0560220778565832,1.05610924664497,1.0560220778565832,0.21485494293628776,-1.0818425085917196,-0.06425517359041912,0.26754390705067865,0.17131897488365122,-1.9648186113227812,-0.003962903841376751,0.8594303340475105,-0.01675419427107795,4.239897846902734,-0.000999437643934606,0.07425520466825002
0.006,0.055611653094422994,0.0556832488041764,0.055611653094422994,0.013769144148419338,0.013751355532776885,0.013769144148419338,1.0560220763272985,1.0561549680383568,1.0560220763272985,-0.9324256335713104,-0.877908305736909,0.308668667427265,0.22323396910972218,-17.723679460127276,-1.8038959666727747,-0.008428465226687725,0.7084532025157737,-0.036588571346229073,3.4983894332321563,-0.0010121312639452269,0.06348095319323754
0.008,0.055611651757660606,0.05569466013015498,0.055611651757660606,0.013769143823290624,0.013748212722262149,0.013769143823290624,1.0560220733515584,1.0561864868800066,1.0560220733515584,-0.9353586339686741,-0.48511021297247847,0.30823552170301666,0.1322230597007263,-17.51295267852535,-1.2945788537267036,-0.009888178396951828,0.4069204654563289,-0.034637146357177066,2.014110306454796,-0.0005064915403778515,0.03989533699246581
0.01,0.05561164955555597,0.05569759561584902,0.05561164955555597,0.013769143287692484,0.013747066591249246,0.013769143287692484,1.056022068449497,1.0562058998069181,1.056022068449497,-0.8601597212034838,-0.1700862978330922,0.2805847512516587,0.05831081404596763,-15.636791726665832,-0.8552762231357928,-0.007719345383464141,0.16337469654279368,-0.02784120538523994,0.8145641598848479,-0.000325154395223709,0.02063597087161067
0.012,0.05561164627306384,0.05569455484377322,0.05561164627306384,0.013769142489321392,0.013747349670007937,0.013769142489321392,1.0560220611424065,1.05621607601026,1.0560220611424065,-0.807279149187604,0.05559803963934519,0.2605372181949225,0.004626725007056609,-14.202255882225588,-0.5168942837331509,-0.005925929424579093,-0.01246287720218086,-0.022166526728398146,-0.0519143551806866,-0.00036743018323420767,0.006652544967976075
0.014,0.05561164169565865,0.05568735180791602,0.05561164169565865,0.01376914137600022,0.013748649895031,0.01376914137600022,1.0560220509527356,1.0562191055747372,1.0560220509527356,-0.9370486515884348,0.2163194541199969,0.30530891656629977,-0.0343545613320231,-15.68229798060189,-0.25173800317465367,-0.0028501615255002734,-0.13905507780047582,-0.020206372575840355,-0.6761699769467662,-0.0003721717618634382,-0.003453418342082748
0.016,0.05561163560933402,0.05567671677729798,0.05561163560933402,0.013769139895678122,0.013750812390412702,0.013769139895678122,1.0560220374040894,1.0562155221690777,1.0560220374040894,-0.6674898577541413,0.35211319927876483,0.21261953903122224,-0.06814726636490148,-11.247606675140647,-0.001943119863506454,-0.003155390059501857,-0.2474572214791217,-0.013717890222023858,-1.2109796704744977,-0.00030686968729051755,-0.012325073898486659
0.018000000000000002,0.05561162780060242,0.05566493432158692,0.05561162780060242,0.013769137996430437,0.013753297113692768,0.013769137996430437,1.0560220200212271,1.0562085899492837,1.0560220200212271,-0.5192229460424073,0.40322085978951694,0.3541050798865415,-0.08196137168416329,-8.69424133418047,0.12804390559505585,0.07220850107313481,-0.2902874078136005,-0.009137535951666996,-1.423103657185389,-0.005784841140236639,-0.015710801977120027
0.020000000000000004,0.05561161805649469,0.05565310777469307,0.05561161805649469,0.013769135626458593,0.013755916062432615,0.013769135626458593,1.0560219983300625,1.0561999403771931,1.0560219983300625,-0.4301831024515062,0.4130666451520092,0.08397879671813444,-0.0888372098147252,-7.201662298803566,0.198170313914678,-0.021514623913358448,-0.3083960545856002,-0.00691021809732107,-1.477079590346178,0.0012713780466751812,-0.017633450771332958
0.022000000000000006,0.055611606164559665,0.055641859451324896,0.055611606164559665,0.013769132734089997,0.013758420845348333,0.013769132734089997,1.056021971857662,1.0561905665956417,1.056021971857662,-0.3224333986888194,0.3992128154377228,0.06851505289804388,-0.0863414224833368,-5.535220500463723,0.23162375350012554,-0.012670035161921308,-0.2985612265214806,-0.005143859626683512,-1.4404551475980345,0.0006751261170970524,-0.017058279485754536
0.024000000000000007,0.055611591912863724,0.05563151298818404,0.055611591912863724,0.013769129267777937,0.013760738756577719,0.013769129267777937,1.0560219401322448,1.0561810604954758,1.0560219401322448,-0.2576689511322415,0.37260838564277743,0.05251853409758512,-0.08099669206904775,-4.573470209257445,0.2430025102454239,-0.010230992224120314,-0.27952824505050367,-0.00441310967277664,-1.354043005338029,0.0005484129518555926,-0.016021755785038158
